"createdAt","domain","shortCode","shortUrl","longUrl","title","tags","visits"
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","vfWLz","https://coti.a2csolutions.com.br/vfWLz","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2060!","Compartilhe no WhatsApp","60|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","Xlprt","https://coti.a2csolutions.com.br/Xlprt","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2070!","Compartilhe no WhatsApp","70|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","o2oua","https://coti.a2csolutions.com.br/o2oua","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2056!","Compartilhe no WhatsApp","56|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","KZk5W","https://coti.a2csolutions.com.br/KZk5W","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2055!","Compartilhe no WhatsApp","55|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","M3PAe","https://coti.a2csolutions.com.br/M3PAe","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2054!","Compartilhe no WhatsApp","54|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","Pchws","https://coti.a2csolutions.com.br/Pchws","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2053!","Compartilhe no WhatsApp","53|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","225Wo","https://coti.a2csolutions.com.br/225Wo","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2052!","Compartilhe no WhatsApp","52|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","4BByO","https://coti.a2csolutions.com.br/4BByO","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2051!","Compartilhe no WhatsApp","51|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","RoClO","https://coti.a2csolutions.com.br/RoClO","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2050!","Compartilhe no WhatsApp","50|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","nbBsz","https://coti.a2csolutions.com.br/nbBsz","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2045!","Compartilhe no WhatsApp","45|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","x1yRg","https://coti.a2csolutions.com.br/x1yRg","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2044!","Compartilhe no WhatsApp","44|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","3ViTA","https://coti.a2csolutions.com.br/3ViTA","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2043!","Compartilhe no WhatsApp","43|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","0Sj13","https://coti.a2csolutions.com.br/0Sj13","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2042!","Compartilhe no WhatsApp","42|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","NOttc","https://coti.a2csolutions.com.br/NOttc","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2041!","Compartilhe no WhatsApp","41|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","kFrNW","https://coti.a2csolutions.com.br/kFrNW","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2040!","Compartilhe no WhatsApp","40|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","B7Ofo","https://coti.a2csolutions.com.br/B7Ofo","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2023!","Compartilhe no WhatsApp","23|mesa|v3",0
"2024-10-12T19:31:27+00:00","coti.a2csolutions.com.br","hf0lJ","https://coti.a2csolutions.com.br/hf0lJ","https://wa.me/551132803247?text=Gostaria%20de%20pagar%20a%20comanda%2022!","Compartilhe no WhatsApp","22|mesa|v3",0
